Name,Division,Wins,Loses,Draws,Nickname,Height,Weight,Reach,Stance,DOB
Jonathan Pearce,Featherweight,10,4,0,JSP,"6' 0""",145 lbs.,"71""",Switch,1992-05-01
Jordan Espinosa,Flyweight,15,9,0,NA,"5' 6""",125 lbs.,"69""",Orthodox,1989-11-08
Jordan Griffin,Featherweight,18,9,0,NativePsycho,"5' 10""",145 lbs.,"73""",Southpaw,1990-02-28
Jordan Johnson,Light Heavyweight,10,0,0,NA,"6' 2""",205 lbs.,"79""",Orthodox,1988-11-18
Jordan Leavitt,Lightweight,8,1,0,The Monkey King,"5' 9""",155 lbs.,"71""",Southpaw,1995-06-02
Jordan Mein,Welterweight,30,12,0,Young Gun,"6' 0""",170 lbs.,"73""",Orthodox,1989-10-10
Jordan Rinaldi,Lightweight,14,7,0,NA,"5' 10""",145 lbs.,"72""",Orthodox,1987-09-25
Jordan Williams,Welterweight,9,5,0,Bomaye,"6' 1""",185 lbs.,"75""",Southpaw,1990-10-13
Jordan Wright,Middleweight,12,1,0,The Beverly Hills Ninja,"6' 2""",205 lbs.,"77""",Orthodox,1991-10-07
Jorge Gonzalez,Light Heavyweight,16,4,0,Street,"6' 2""",205 lbs.,"76""",Orthodox,1984-02-29
Jorge Masvidal,Welterweight,35,15,0,Gamebred,"5' 11""",170 lbs.,"74""",Orthodox,1984-11-12
Jose Alberto Quinonez,Bantamweight,9,5,0,El Teco,"5' 8""",135 lbs.,"69""",Southpaw,1990-07-28
Jose Aldo,Bantamweight,28,7,0,NA,"5' 7""",135 lbs.,"70""",Orthodox,1986-09-09
Jose Torres,Flyweight,8,1,0,Shorty,"5' 4""",125 lbs.,"65""",Orthodox,1992-08-02
Joselyne Edwards,Women's Bantamweight,7,1,0,La Pantera,"5' 8""",135 lbs.,"70""",Orthodox,1995-09-29
Joseph Benavidez,Flyweight,28,8,0,NA,"5' 4""",125 lbs.,"65""",Southpaw,1984-07-31
Joseph Duffy,Lightweight,16,5,0,Irish,"5' 10""",155 lbs.,"73""",Orthodox,1988-02-18
Joseph Lowry,Lightweight,7,1,0,NA,,,,,
Joseph Morales,Flyweight,9,2,0,Bopo,"5' 6""",125 lbs.,"69""",Switch,1994-08-22
Joseph Nathan Maness,Bantamweight,13,1,0,Mayham,,,,,
Josh Barnett,Heavyweight,35,8,0,The Warmaster,"6' 3""",250 lbs.,"78""",Orthodox,1977-11-10
Josh Emmett,Featherweight,16,2,0,NA,"5' 6""",145 lbs.,"70""",Orthodox,1985-03-04
Josh Parisian,Heavyweight,14,4,0,NA,"6' 4""",265 lbs.,"79""",Orthodox,1989-06-28
Joshua Culibao,Featherweight,9,1,1,Kuya,"5' 10""",155 lbs.,"73""",Orthodox,1994-05-24
Josiane Nunes,Women's Bantamweight,7,1,0,Josi,,135 lbs.,,,1993-12-23
Journey Newson,Bantamweight,9,2,0,NA,"5' 5""",135 lbs.,"67""",Orthodox,1989-03-07
J.P. Buys,Flyweight,9,3,0,NA,"5' 5""",125 lbs.,"67""",Orthodox,1996-04-30
Juan Adams,Heavyweight,5,3,0,The Kraken,"6' 5""",265 lbs.,"80""",Orthodox,1992-01-16
Juan Espino,Heavyweight,11,2,0,El Guapo,"6' 3""",250 lbs.,"80""",,1980-10-09
Juancamilo Ronderos,Flyweight,4,1,0,100,,,,,
Julia Avila,Women's Bantamweight,9,2,0,Raging Panda,"5' 7""",135 lbs.,"68""",Orthodox,1988-05-11
Julian Erosa,Featherweight,25,10,0,Juicy J,"6' 1""",145 lbs.,"74""",Southpaw,1989-07-31
Julian Marquez,Middleweight,9,2,0,The Cuban Missile Crisis,"6' 2""",185 lbs.,"72""",Orthodox,1990-05-08
Juliana Lima,Women's Strawweight,9,5,0,Ju Thai,"5' 5""",115 lbs.,"65""",Orthodox,1982-03-15
Julianna Pena,Women's Bantamweight,11,4,0,The Venezuelan Vixen,"5' 6""",135 lbs.,"69""",Orthodox,19-Aug-89
Julija Stoliarenko,Women's Bantamweight,9,6,1,NA,"5' 7""",135 lbs.,"66""",,1993-04-08
Julio Arce,Bantamweight,17,4,0,NA,"5' 7""",145 lbs.,"70""",Southpaw,1989-10-27
Jun Yong Park,Middleweight,13,4,0,The Iron Turtle,"5' 10""",185 lbs.,"73""",Orthodox,1991-02-27
Junior Albini,Heavyweight,14,6,0,Baby,"6' 3""",264 lbs.,"74""",Orthodox,1991-03-15
Junior dos Santos,Heavyweight,21,9,0,Cigano,"6' 4""",238 lbs.,"77""",Orthodox,1984-01-30
Jussier Formiga,Flyweight,23,8,0,NA,"5' 5""",125 lbs.,"67""",Orthodox,1985-04-14
Justin Frazier,Heavyweight,11,2,0,The Grizzlybear,"6' 0""",265 lbs.,"75""",Southpaw,1989-06-15
Justin Gaethje,Lightweight,23,2,0,The Highlight,"5' 11""",155 lbs.,"70""",Orthodox,1988-11-14
Justin Jaynes,Featherweight,16,8,0,The Guitar Hero,"5' 7""",155 lbs.,"68""",Orthodox,1989-08-10
Justin Ledet,Light Heavyweight,9,4,0,El Blanco,"6' 4""",205 lbs.,"80""",Orthodox,1988-09-28
Justin Scoggins,Flyweight,11,5,0,NA,"5' 7""",125 lbs.,"66""",Southpaw,1992-05-02
Justin Tafa,Heavyweight,4,3,0,Bad Man,"6' 0""",264 lbs.,"74""",Southpaw,1993-12-13
Justin Wilcox,Lightweight,0,0,0,Silverback,"5' 6""",155 lbs.,,Orthodox,1979-03-12
Justin Willis,Heavyweight,8,2,0,Big Pretty,"6' 1""",264 lbs.,"78""",Southpaw,1987-07-19
Justine Kish,Women's Flyweight,7,4,0,NA,"5' 5""",125 lbs.,"64""",Orthodox,1988-04-13
Kai Kamaka III,Featherweight,8,4,0,The Fighting Hawaiian,"5' 7""",145 lbs.,"69""",Orthodox,1995-01-05
Kai Kara France,Flyweight,22,9,0,Don't Blink,"5' 4""",125 lbs.,"69""",Orthodox,1993-03-26
Kajan Johnson,Lightweight,23,14,1,Ragin',"5' 11""",155 lbs.,"75""",Orthodox,1984-04-21
Kalinn Williams,Welterweight,12,2,0,The Oxfighter,"6' 0""",170 lbs.,"77""",Orthodox,1994-03-30
Kamaru Usman,Welterweight,19,1,0,Nigerian Nightmare,"6' 0""",170 lbs.,"76""",Switch,1987-05-11
Kamuela Kirk,Featherweight,12,4,0,The Jawaiian,"5' 10""",145 lbs.,"75""",Switch,1994-04-13
Kanako Murata,Women's Strawweight,12,2,0,NA,"5' 1""",115 lbs.,"62""",Orthodox,1993-08-10
Karl Roberson,Middleweight,9,4,0,Baby K,"6' 1""",185 lbs.,"74""",Southpaw,1990-10-04
Karol Rosa,Women's Bantamweight,14,3,0,NA,"5' 5""",135 lbs.,"67""",Orthodox,1994-12-30
Karolina Kowalkiewicz,Women's Strawweight,13,6,0,NA,"5' 3""",115 lbs.,"64""",Orthodox,1985-10-15
Katlyn Chookagian,Women's Flyweight,16,4,0,Blonde Fighter,"5' 9""",125 lbs.,"68""",Orthodox,1988-12-28
Kay Hansen,Women's Strawweight,7,4,0,NA,"5' 2""",115 lbs.,"63""",Orthodox,1999-08-14
Kazuo Misaki,Welterweight,0,0,0,Hitman,"5' 8""",183 lbs.,,Orthodox,1976-04-25
K.B. Bhullar,Middleweight,8,2,0,The Bengal,"6' 4""",185 lbs.,"78""",Switch,1991-10-12
Keita Nakamura,Welterweight,34,9,2,K-Taro,"5' 11""",170 lbs.,"73""",Southpaw,1984-05-22
Keith Berish,Middleweight,5,1,0,Sha Bang Bang,"6' 0""",205 lbs.,,Orthodox,1985-11-14
Kelly Faszholz,Women's Bantamweight,3,2,0,NA,"5' 8""",135 lbs.,,Orthodox,1985-04-09
Kelvin Gastelum,Middleweight,17,7,0,NA,"5' 9""",185 lbs.,"71""",Southpaw,1991-10-24
Kenan Song,Welterweight,16,6,0,The Assassin,"6' 0""",170 lbs.,"71""",Orthodox,1990-03-10
Kennedy Nzechukwu,Light Heavyweight,9,1,0,African Savage,"6' 5""",205 lbs.,"83""",Southpaw,1992-06-13
Kenneth Bergh,Light Heavyweight,6,0,0,NA,"6' 2""",205 lbs.,"74""",Orthodox,1989-06-26
Kenny Florian,Featherweight,16,6,0,KenFlo,"5' 10""",145 lbs.,"74""",Southpaw,1976-05-26
Kerry Vera,Women's Bantamweight,0,0,0,NA,"5' 7""",135 lbs.,,Orthodox,
Ketlen Vieira,Women's Bantamweight,11,2,0,Fenomeno,"5' 8""",135 lbs.,"68""",Orthodox,1991-08-26
Kevin Aguilar,Featherweight,17,5,0,Angel of Death,"5' 7""",155 lbs.,"73""",Orthodox,1988-09-07
Kevin Casey,Middleweight,9,5,1,King,"5' 11""",185 lbs.,"77""",Southpaw,1981-06-15
Kevin Croom,Featherweight,21,13,0,Crash,"5' 11""",155 lbs.,"73""",Orthodox,1987-07-15
Kevin Holland,Middleweight,21,7,0,Trailblazer,"6' 3""",185 lbs.,"81""",Orthodox,1992-11-05
Kevin Lee,Welterweight,18,6,0,The Motown Phenom,"5' 9""",170 lbs.,"77""",Orthodox,1992-09-04
Kevin Natividad,Bantamweight,9,3,0,Quicksand,"5' 6""",145 lbs.,"70""",Orthodox,1993-04-02
Khabib Nurmagomedov,Lightweight,29,0,0,The Eagle,"5' 10""",155 lbs.,"70""",Orthodox,1988-09-20
Khadis Ibragimov,Light Heavyweight,8,3,0,NA,"6' 3""",205 lbs.,"78""",Orthodox,1995-05-21
Khalid Murtazaliev,Middleweight,14,2,0,NA,"6' 0""",185 lbs.,"76""",Orthodox,1993-07-15
Khalid Taha,Bantamweight,13,4,0,The Warrior,"5' 5""",135 lbs.,"69""",Orthodox,1992-02-15
Khalil Rountree,Light Heavyweight,9,5,0,NA,"6' 1""",205 lbs.,"76""",Southpaw,1990-02-26
Khama Worthy,Lightweight,16,8,0,The Death Star,"5' 11""",155 lbs.,"74""",Orthodox,1986-10-15
Khamzat Chimaev,Middleweight,9,0,0,Borz,"6' 2""",170 lbs.,"75""",Orthodox,1994-05-01
Klidson Abreu,Light Heavyweight,15,5,0,White Bear,"6' 0""",205 lbs.,"74""",Orthodox,1992-12-24
Konklak Suphisara,Women's Strawweight,6,2,0,Loma Lookboonmee,"5' 1""",115 lbs.,"61""",Orthodox,1996-01-18
Kris Moutinho,Bantamweight,0,1,0,NA,,,,,
Kron Gracie,Featherweight,5,1,0,NA,"5' 9""",145 lbs.,"70""",Southpaw,1988-07-11
Krzysztof Jotko,Middleweight,22,5,0,NA,"6' 1""",185 lbs.,"77""",Southpaw,1989-08-19
Kurt Holobaugh,Lightweight,17,7,0,NA,"5' 11""",155 lbs.,"70""",Orthodox,1986-09-08
Kyle Bochniak,Featherweight,8,5,0,Crash,"5' 7""",145 lbs.,"70""",Orthodox,1987-02-05
Kyle Daukaus,Middleweight,10,2,0,NA,"6' 3""",185 lbs.,"76""",Southpaw,1993-02-27
Kyle Jensen,Welterweight,0,0,0,NA,"5' 9""",170 lbs.,,Orthodox,1979-07-20
Kyle Nelson,Featherweight,13,4,0,The Monster,"5' 11""",155 lbs.,"71""",Switch,1991-04-20
Kyle Noke,Welterweight,22,10,1,NA,"6' 1""",170 lbs.,"76""",Southpaw,1980-03-18
Kyle Prepolec,Welterweight,12,7,0,Killshot,"5' 10""",170 lbs.,"70""",Southpaw,1989-08-30
Kyle Stewart,Welterweight,8,2,0,Gunz Up,"6' 0""",170 lbs.,"76""",Orthodox,1989-01-31
Kyler Phillips,Bantamweight,9,2,0,The Matrix,"5' 8""",135 lbs.,"72""",Orthodox,1995-06-12
Kyung Ho Kang,Bantamweight,17,8,0,Mr. Perfect,"5' 9""",135 lbs.,"73""",Orthodox,1987-09-09
Lando Vannata,Featherweight,12,5,2,Groovy,"5' 9""",155 lbs.,"71""",Orthodox,1992-03-14
Landon Quinones Stewart,Lightweight,0,0,0,NA,"5' 9""",155 lbs.,,Southpaw,1995-11-21
Lara Procopio,Women's Flyweight,7,2,0,NA,"5' 4""",125 lbs.,"67""",Orthodox,1995-11-14
Laureano Staropoli,Middleweight,9,4,0,Pepi,"6' 1""",170 lbs.,"71""",Orthodox,1993-02-27
Lauren Mueller,Women's Flyweight,5,3,0,Princess Tiger,"5' 5""",125 lbs.,"67""",Orthodox,1991-11-15
Lauren Murphy,Women's Flyweight,15,4,0,Lucky,"5' 5""",125 lbs.,"67""",Orthodox,1983-07-27
Leah Letson,Women's Featherweight,5,2,0,Nidas,"5' 7""",145 lbs.,"71""",,1992-08-21
Leandro Issa,Bantamweight,13,6,0,Brodinho,"5' 7""",135 lbs.,"69""",Orthodox,1983-09-19
Leomana Martinez,Bantamweight,0,1,0,NA,"5' 10""",135 lbs.,"70""",Orthodox,1996-03-25
Leon Edwards,Welterweight,19,3,0,Rocky,"6' 2""",170 lbs.,"74""",Southpaw,1991-08-25
Leonardo Santos,Lightweight,18,5,1,NA,"6' 0""",155 lbs.,"75""",Orthodox,1980-02-05
Lerone Murphy,Featherweight,10,0,1,The Miracle,"5' 9""",145 lbs.,"73""",Orthodox,1991-07-22
Liana Jojua,Women's Flyweight,8,3,0,She Wolf,"5' 4""",125 lbs.,"62""",Orthodox,1995-03-22
Liliya Shakirova,Women's Flyweight,8,1,0,NA,"5' 4""",125 lbs.,"65""",Orthodox,1991-10-24
Lina Lansberg,Women's Bantamweight,10,5,0,Elbow Queen,"5' 7""",135 lbs.,"65""",Orthodox,1982-03-13
Livinha Souza,Women's Strawweight,14,3,0,The Brazilian Gangsta,"5' 3""",115 lbs.,"63""",Orthodox,1991-03-11
Liz Carmouche,Women's Flyweight,13,7,0,Girlrilla,"5' 6""",125 lbs.,"66""",Orthodox,1984-02-19
Louis Cosce,Welterweight,7,1,0,NA,"5' 9""",170 lbs.,"71""",Orthodox,1995-08-27
Louis Smolka,Bantamweight,17,7,0,Da Last Samurai,"5' 9""",135 lbs.,"68""",Orthodox,1991-07-16
Luana Carolina,Women's Flyweight,7,2,0,Dread,"5' 6""",125 lbs.,"69""",Orthodox,1993-06-11
Luana Pinheiro,Women's Strawweight,9,1,0,NA,"5' 2""",115 lbs.,"62""",Orthodox,1992-11-18
Lucie Pudilova,Women's Flyweight,8,6,0,NA,"5' 8""",125 lbs.,"67""",Orthodox,1994-06-13
Ludovit Klein,Featherweight,17,3,0,Mr. Highlight,"5' 7""",155 lbs.,"72""",Southpaw,1995-02-22
Luigi Vendramini,Lightweight,9,2,0,The Italian Stallion,"5' 8""",170 lbs.,"73""",Orthodox,1996-01-16
Luis Henrique Barbosa de Oliveira,Heavyweight,10,4,0,KLB,"6' 2""",243 lbs.,"74""",Orthodox,1993-08-21
Luis Pena,Lightweight,9,3,0,Violent Bob Ross,"6' 3""",155 lbs.,"75""",Southpaw,1993-07-05
Luis Saldana,Featherweight,15,6,0,NA,"5' 11""",145 lbs.,"73""",Orthodox,1991-01-27
Luiz Eduardo Garagorri,Featherweight,13,2,0,NA,"5' 9""",145 lbs.,"70""",Orthodox,1989-05-28
Luke Jumeau,Welterweight,13,5,0,The Jedi,"5' 11""",170 lbs.,"72""",Orthodox,1988-02-12
Luke Rockhold,Middleweight,16,5,0,NA,"6' 3""",205 lbs.,"77""",Southpaw,1984-10-17
Luke Sanders,Featherweight,13,5,0,Cool Hand,"5' 6""",135 lbs.,"67""",Southpaw,1985-12-12
Lupita Godinez,Women's Strawweight,5,1,0,Loopy,,,,,
Lyman Good,Welterweight,21,6,0,Cyborg,"6' 0""",170 lbs.,"74""",Orthodox,1985-05-26
Mackenzie Dern,Women's Strawweight,11,1,0,NA,"5' 4""",115 lbs.,"63""",Orthodox,1993-03-24
Macy Chiasson,Bantamweight,8,1,0,NA,"5' 11""",135 lbs.,"72""",Orthodox,1991-07-27
Magomed Ankalaev,Light Heavyweight,15,1,0,NA,"6' 3""",205 lbs.,"75""",Orthodox,1992-06-02
Magomed Bibulatov,Flyweight,14,2,0,Chaborz,,,,,
Magomed Mustafaev,Lightweight,14,4,0,The Sniper,"5' 8""",155 lbs.,"71""",Orthodox,1988-08-02
Maia Kahaunaele-Stevenson,Women's Strawweight,6,5,0,NA,"5' 4""",115 lbs.,"62""",Orthodox,1982-03-19
Mairbek Taisumov,Lightweight,26,6,0,Beckan,"5' 9""",155 lbs.,"73""",Orthodox,1988-08-08
Makhmud Muradov,Middleweight,25,6,0,Mach,"6' 2""",185 lbs.,"75""",Orthodox,1990-02-08
Maki Pitolo,Middleweight,13,8,0,Coconut Bombz,"5' 10""",185 lbs.,"75""",Orthodox,1990-11-24
Makwan Amirkhani,Featherweight,16,6,0,Mr. Finland,"5' 10""",145 lbs.,"72""",Southpaw,1988-11-08
Malcolm Gordon,Flyweight,13,5,0,X,"5' 7""",125 lbs.,"71""",Switch,1990-05-19
Mallory Martin,Women's Strawweight,7,4,0,NA,"5' 4""",115 lbs.,"63""",Orthodox,1994-01-29
Manel Kape,Flyweight,15,6,0,StarBoy,"5' 5""",125 lbs.,"68""",Southpaw,1993-11-14
Manny Bermudez,Bantamweight,14,2,0,The Bermudez Triangle,"5' 10""",145 lbs.,"71""",Orthodox,1994-07-16
Manny Gamburyan,Bantamweight,18,11,0,The Anvil,,,,,
Manon Fiorot,Women's Flyweight,7,1,0,The Beast,"5' 7""",125 lbs.,,Orthodox,1990-02-17
Mara Romero Borella,Flyweight,12,9,0,Maravilha,"5' 6""",125 lbs.,"69""",Orthodox,1986-06-03
Marc Diakiese,Lightweight,14,4,0,Bonecrusher,"5' 10""",155 lbs.,"73""",Orthodox,1993-03-16
Marc-Andre Barriault,Middleweight,12,4,0,Powerbar,"6' 1""",185 lbs.,"74""",Orthodox,1990-02-18
Marcelo Golm,Heavyweight,6,3,0,NA,"6' 3""",249 lbs.,"75""",Orthodox,1992-09-15
Marcelo Rojo,Featherweight,16,8,0,Pitbull,"5' 8""",145 lbs.,"71""",Orthodox,1988-07-02
Marcin Prachnio,Light Heavyweight,15,5,0,NA,"6' 3""",205 lbs.,"74""",Orthodox,1988-07-14
Marcin Tybura,Heavyweight,22,6,0,Tybur,"6' 3""",249 lbs.,"78""",Orthodox,1985-11-09
Marco Polo Reyes,Lightweight,8,8,0,El Toro,"5' 11""",155 lbs.,"71""",Orthodox,1984-11-07
Marcos Rodrigo da Rosa Borges,Lightweight,6,6,0,Dhalsim,,,,,
Marcos Rogerio de Lima,Heavyweight,18,8,1,Pezao,"6' 1""",253 lbs.,"75""",Orthodox,1985-06-25
Marina Rodriguez,Women's Strawweight,14,1,2,NA,"5' 6""",115 lbs.,"65""",Orthodox,1987-04-29
Mario Bautista,Bantamweight,8,2,0,NA,"5' 9""",135 lbs.,"69""",Switch,1993-07-01
Mario Filipe de Sousa,Middleweight,1,0,0,Coração Valente,,,,,
Marion Reneau,Women's Bantamweight,9,8,1,The Belizean Bruiser,"5' 6""",135 lbs.,"68""",Orthodox,1977-06-20
Mariusz Ksiazkiewicz,Middleweight,0,0,0,NA,"6' 3""",185 lbs.,"75""",Southpaw,1989-10-04
Mariya Agapova,Women's Flyweight,9,1,0,NA,"5' 6""",125 lbs.,"68""",Southpaw,1997-04-07
Mark De La Rosa,Bantamweight,11,5,0,Bumblebee,"5' 6""",135 lbs.,"65""",Orthodox,1994-08-31
Mark Godbeer,Heavyweight,13,3,0,The Hand Of,"6' 4""",240 lbs.,"77""",Orthodox,1983-11-22
Mark Hunt,Heavyweight,13,14,1,Super Samoan,"5' 10""",265 lbs.,"72""",Orthodox,1974-03-23
Mark Munoz,Middleweight,14,6,0,The Filipino Wrecking Machine,"6' 0""",185 lbs.,"71""",Orthodox,1978-02-09
Mark O. Madsen,Lightweight,2,0,0,The Olympian,"5' 8""",155 lbs.,"72""",Orthodox,1984-09-23
Mark Striegl,Bantamweight,18,3,0,Mugen,"5' 8""",135 lbs.,"70""",Southpaw,1988-06-23
Markus Perez,Middleweight,12,5,0,Maluko,"6' 1""",185 lbs.,"73""",Orthodox,1988-06-22
Marlon Moraes,Bantamweight,23,7,1,Magic,"5' 6""",135 lbs.,"67""",Orthodox,1988-04-26
Marlon Vera,Bantamweight,17,7,1,Chito,"5' 8""",135 lbs.,"70""",Switch,1992-12-02
Martin Bravo,Featherweight,12,2,0,El Toro,"5' 8""",145 lbs.,"71""",Southpaw,1993-09-21
Martin Day,Bantamweight,8,6,0,The Spartan,"5' 10""",145 lbs.,"73""",Orthodox,1988-11-10
Martin Kampmann,Welterweight,20,7,0,The Hitman,"6' 0""",170 lbs.,"72""",Orthodox,1982-04-17
Marvin Vettori,Middleweight,17,5,1,The Italian Dream,"6' 0""",185 lbs.,"74""",Southpaw,1993-09-20
Maryna Moroz,Women's Flyweight,10,3,0,Iron Lady,"5' 7""",125 lbs.,"67""",Orthodox,1991-09-08
Mason Jones,Lightweight,10,1,0,Dragon,"5' 10""",155 lbs.,,Orthodox,1995-04-26
Mateusz Gamrot,Lightweight,19,1,0,Gamer,"5' 10""",155 lbs.,"70""",Southpaw,1990-12-11
Matheus Nicolau,Bantamweight,16,3,1,NA,"5' 6""",125 lbs.,"66""",Orthodox,1993-01-06
Matheus Scheffel,Heavyweight,0,0,0,NA,"6' 2""",205 lbs.,,,1992-04-11
Mats Nilsson,Welterweight,11,4,1,NA,"6' 1""",170 lbs.,,Orthodox,1983-12-05
Matt Bessette,Featherweight,22,9,0,The Mangler,"5' 10""",145 lbs.,"70""",Orthodox,1984-12-28
Matt Brown,Welterweight,25,18,0,The Immortal,"6' 0""",170 lbs.,"75""",Orthodox,1981-01-10
Matt Frevola,Lightweight,8,3,1,The SteamRolla,"5' 9""",155 lbs.,"71""",Orthodox,1990-06-11
Matt Grice,Featherweight,15,5,0,The Real One,"5' 8""",145 lbs.,"70""",Orthodox,1981-07-29
Matt Hughes,Welterweight,46,9,0,NA,"5' 9""",170 lbs.,"73""",Switch,1973-10-13
Matt Sayles,Featherweight,8,3,0,NA,"5' 7""",145 lbs.,"68""",Orthodox,1994-02-21
Matt Schnell,Bantamweight,15,6,0,Danger,"5' 8""",125 lbs.,"70""",Orthodox,1990-01-15
Matt Serra,Welterweight,17,7,0,The Terror,"5' 6""",170 lbs.,"68""",Orthodox,1974-06-02
Matt Wiman,Lightweight,16,10,0,NA,"5' 10""",155 lbs.,"68""",Orthodox,1983-09-19
Matthew Lopez,Bantamweight,10,5,0,NA,"5' 7""",135 lbs.,"69""",Southpaw,1987-01-21
Matthew Semelsberger,Welterweight,8,3,0,Semi The Jedi,"6' 1""",170 lbs.,"75""",Switch,1992-11-23
Maurice Greene,Heavyweight,9,7,0,The Crochet Boss,"6' 7""",258 lbs.,"80""",Orthodox,1986-07-05
Mauricio Rua,Light Heavyweight,27,11,1,Shogun,"6' 1""",205 lbs.,"76""",Orthodox,1981-11-25
Max Griffin,Welterweight,18,8,0,Pain,"5' 11""",170 lbs.,"76""",Orthodox,1985-11-29
Max Holloway,Featherweight,22,6,0,Blessed,"5' 11""",145 lbs.,"69""",Orthodox,1991-12-04
Max Rohskopf,Lightweight,0,1,0,Rated R,"6' 1""",155 lbs.,"71""",Orthodox,1994-09-27
Maxim Grishin,Light Heavyweight,31,9,2,Maximus,"6' 3""",220 lbs.,"78""",Orthodox,1984-05-02
Maycee Barber,Women's Flyweight,9,2,0,The Future,"5' 5""",125 lbs.,"65""",Switch,1998-05-18
Mayra Bueno Silva,Women's Flyweight,7,1,1,Sheetara,"5' 6""",135 lbs.,"66""",Orthodox,1991-08-22
Megan Anderson,Women's Featherweight,11,5,0,NA,"6' 0""",145 lbs.,"72""",Orthodox,1990-02-11
Melissa Gatto,Women's Flyweight,6,0,2,NA,"5' 5""",135 lbs.,,Orthodox,1996-02-05
Melsik Baghdasaryan,Featherweight,5,1,0,NA,"5' 9""",145 lbs.,"70""",Southpaw,1992-01-28
Merab Dvalishvili,Bantamweight,13,4,0,The Machine,"5' 6""",135 lbs.,"68""",Orthodox,1991-01-10
Michael Chandler,Lightweight,22,6,0,Iron,"5' 8""",155 lbs.,"71""",Orthodox,1986-04-24
Michael Chiesa,Welterweight,18,4,0,Maverick,"6' 1""",170 lbs.,"75""",Southpaw,1987-12-07
Michael Johnson,Lightweight,20,17,0,The Menace,"5' 10""",155 lbs.,"73""",Southpaw,1986-06-04
Michael McDonald,Bantamweight,17,4,0,Mayday,"5' 9""",135 lbs.,"70""",Orthodox,1991-01-15
Michael Trizano,Featherweight,10,1,0,The Lone Wolf,"5' 11""",155 lbs.,"71""",Orthodox,1991-12-31
Michal Oleksiejczuk,Light Heavyweight,15,4,0,Lord,"6' 0""",205 lbs.,"74""",Southpaw,1995-02-22
Michel Pereira,Welterweight,26,11,0,Demolidor,"6' 1""",170 lbs.,"73""",Orthodox,1993-10-06
Michel Prazeres,Welterweight,26,4,0,Tractor,"5' 6""",170 lbs.,"67""",Orthodox,1981-07-25
Michelle Waterson,Women's Strawweight,18,9,0,The Karate Hottie,"5' 3""",115 lbs.,"62""",Orthodox,1986-01-06
Mickey Gall,Welterweight,7,3,0,NA,"6' 2""",170 lbs.,"74""",Switch,1992-01-22
Miesha Tate,Women's Bantamweight,19,7,0,Cupcake,"5' 6""",135 lbs.,"66""",Orthodox,1986-08-18
Miguel Baeza,Welterweight,10,1,0,Caramel Thunder,"6' 2""",170 lbs.,"74""",Orthodox,1992-08-23
Mike Davis,Lightweight,8,2,0,Beast Boy,"6' 0""",145 lbs.,"72""",Orthodox,1992-10-07
Mike Grundy,Featherweight,12,3,0,NA,"5' 7""",145 lbs.,"72""",Orthodox,1987-01-03
Mike Jackson,Welterweight,1,1,0,The Truth,"6' 2""",170 lbs.,,Orthodox,1985-03-22
Mike Perry,Welterweight,14,8,0,Platinum,"5' 10""",170 lbs.,"71""",Orthodox,1991-09-15
Mike Rodriguez,Light Heavyweight,11,6,0,Slo-Mike,"6' 4""",205 lbs.,"82""",Southpaw,1988-11-28
Mike Swick,Welterweight,15,6,0,Quick,"6' 1""",170 lbs.,"77""",Orthodox,1979-06-19
Milana Dudieva,Women's Bantamweight,11,5,0,NA,"5' 3""",135 lbs.,,Orthodox,1989-08-04
Miles Johns,Bantamweight,11,1,0,Chapo,"5' 7""",135 lbs.,"66""",Orthodox,1994-03-30
Miranda Granger,Women's Strawweight,7,1,0,Danger,"5' 7""",125 lbs.,"68""",Orthodox,1992-04-13
Miranda Maverick,Women's Flyweight,11,3,0,Fear The,"5' 3""",125 lbs.,"65""",Southpaw,1997-07-01
Mirsad Bektic,Featherweight,13,3,0,NA,"5' 8""",145 lbs.,"70""",Orthodox,1991-02-16
Misha Cirkunov,Light Heavyweight,15,6,0,NA,"6' 3""",205 lbs.,"77""",Orthodox,1987-02-27
Mitch Clarke,Lightweight,11,5,0,Danger Zone,"5' 10""",155 lbs.,"73""",Orthodox,1985-11-24
Mitch Gagnon,Bantamweight,12,4,0,NA,"5' 5""",135 lbs.,"65""",Southpaw,1984-10-10
Mizuki Inoue,Women's Strawweight,14,5,0,NA,,,,,
Mizuto Hirota,Lightweight,19,10,2,Pugnus,"5' 7""",155 lbs.,"67""",Orthodox,1981-05-05
Modestas Bukauskas,Light Heavyweight,11,4,0,The Baltic Gladiator,"6' 3""",205 lbs.,"78""",Switch,1994-02-10
Molly McCann,Women's Flyweight,10,4,0,Meatball,"5' 4""",125 lbs.,"62""",Orthodox,1990-05-04
Montana De La Rosa,Women's Flyweight,12,6,1,NA,"5' 7""",125 lbs.,"68""",Orthodox,1995-02-14
Montel Jackson,Bantamweight,11,2,0,Quik,"5' 10""",135 lbs.,"75""",Southpaw,1992-04-24
Montserrat Ruiz,Women's Strawweight,10,2,0,Conejo,,,,,
Mounir Lazzez,Welterweight,10,2,0,The Sniper,"6' 1""",170 lbs.,"76""",Orthodox,1987-11-16
Movsar Evloev,Featherweight,15,0,0,NA,"5' 7""",145 lbs.,"72""",Orthodox,1994-02-11
